"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
816,桃園市資料開放平台客群：年齡層,380370000A 【桃園市政府資訊科技局】,每季,CSV,年齡層、工作階段、新工作階段、新使用者、跳出率、單次工作階段頁數、平均工作階段時間長度、目標轉換率、目標達成、目標價值,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8d778645-59ac-4ab7-9c2d-40fe84e705e4,公共資訊 (948),20160101-20170202 GOOGLE ANALYTICS分析資料,年齡層、工作階段、新工作階段、新使用者、跳出率、單次工作階段頁數、平均工作階段時間長度、目標轉換率、目標達成、目標價值,原始資料,CSV,2017-02-10 10:45:48,380370000A 【桃園市政府資訊科技局】,6,2016-01-01,,政府資料開放授權條款－第1版,,,,,Big5,"""平均工作階段時間長度, 年齡層, 工作階段, GA, 單次工作階段頁數, 新使用者, 跳出率, 新工作階段""",2017-02-06 13:26:54,張小姐,03-3322101分機6961,10018318@mail.tycg.gov.tw,
817,桃園市政府警察局101~105年大溪分局預算表,380130000C 【警察局】,不定期,CSV,year(年度，預算所屬年度)、type(預算別，分為歲入來源別及歲出機關別)、breau(機關，預算所屬機關)、art_1(款)、art_2(項)、art_3(目)、art_4(節)、name(名稱，預算名稱)、budget(預算數，單位為新臺幣/元),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8d9de71c-2b00-4776-a9cf-15f3cec8927f,公共資訊 (948),桃園市政府警察局101~105年大溪分局預算表,year(年度，預算所屬年度)、type(預算別，分為歲入來源別及歲出機關別)、breau(機關，預算所屬機關)、art_1(款)、art_2(項)、art_3(目)、art_4(節)、name(名稱，預算名稱)、budget(預算數，單位為新臺幣/元),網路服務,CSV,2018-04-01 12:58:17,380130000C 【警察局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,預算,2016-05-12 01:40:32,"林應龍 ",03-3363488,fxm900206216@tyhp.gov.tw,
818,桃園市消費資料(中),380300000H 【觀光旅遊局】,即時,JSON,"""InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間) 
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8dc035f1-0770-4522-8c98-96d98bb0530e,休閒旅遊 (72),提供本市消費之觀光資訊，內容包含店家名稱、地址、X座標、Y座標等資料。,"""InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間) 
""",原始資料,JSON,2018-07-07 02:14:01,380300000H 【觀光旅遊局】,120,,,政府資料開放授權條款－第1版,,,,http://travel.tycg.gov.tw/zh-tw/Consume/List,UTF-8,"""觀光, 休閒旅遊, 觀旅局, 消費""",2015-10-07 02:59:21,徐小姐,03-3322101#6209,151026@mail.tycg.gov.tw,
819,桃園市爆竹煙火安全檢查,380320000A 【消防局】,每月,CSV,期底列管場所家數_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。截至當月底之列管總家數。)、期底列管場所家數_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。截至當月底之列管總家數。)、期底列管場所家數_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。截至當月底之列管總家數。)、期底列管場所家數_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。截至當月底之列管總家數。)、期底列管場所家數_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。截至當月底之列管總家數。)、期底列管場所家數_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。截至當月底之列管總家數。)、期底列管場所家數_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。截至當月底之列管總家數。)、檢查件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、合格件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查合格件次。)、合格件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查合格件次。)、合格件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查合格件次。)、合格件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查合格件次。)、合格件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查合格件次。)、合格件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查合格件次。)、合格件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查合格件次。)、不合格件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查不合格件次。)、不合格件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查不合格件次。)、不合格件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查不合格件次。)、不合格件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查不合格件次。)、不合格件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查不合格件次。)、不合格件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查不合格件次。)、不合格件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查不合格件次。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8dddb5df-e79c-4ba7-9a5c-3c9c03ada7a7,公共資訊 (948),提供桃園市內爆竹煙火製造、儲存、販賣、進口爆竹煙火 貿易商營業場所、大量燃放場所（宗教廟會活動地點）及可疑處所等列管家數及檢查情形。,期底列管場所家數_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。截至當月底之列管總家數。)、期底列管場所家數_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。截至當月底之列管總家數。)、期底列管場所家數_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。截至當月底之列管總家數。)、期底列管場所家數_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。截至當月底之列管總家數。)、期底列管場所家數_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。截至當月底之列管總家數。)、期底列管場所家數_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。截至當月底之列管總家數。)、期底列管場所家數_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。截至當月底之列管總家數。)、檢查件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、檢查件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查件次依消防機關辦理消防安全檢查注意事項之規定辦理。)、合格件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查合格件次。)、合格件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查合格件次。)、合格件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查合格件次。)、合格件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查合格件次。)、合格件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查合格件次。)、合格件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查合格件次。)、合格件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查合格件次。)、不合格件次_製造場所(指按爆竹煙火管理條例第6條規定取得製造許可之製造場所。檢查不合格件次。)、不合格件次_達管制量儲存場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火儲存場所。檢查不合格件次。)、不合格件次_達管制量販賣場所(達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查不合格件次。)、不合格件次_未達管制量販賣場所(未達爆竹煙火管理條例施行細則第4條所訂管制量之爆竹煙火販賣場所。檢查不合格件次。)、不合格件次_進口貿易商營業場所(進口爆竹煙火貿易商營利事業登記證所載之營業場所，如上開營業場所經常無人，則改列其實際所在之營業場所。檢查不合格件次。)、不合格件次_宗教廟會活動地點(燃放爆竹煙火之宗教廟會活動地點。檢查不合格件次。)、不合格件次_可疑處所(易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。檢查不合格件次。),原始資料,CSV,2018-06-15 16:15:28,380320000A 【消防局】,8,2017-10-01,2018-05-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""鞭炮, 煙火, 爆竹""",2017-11-20 16:02:54,陳先生,03-3379119-127,alliechang@mail.tyfd.gov.tw,"""製造場所：係指按「爆竹煙火管理條例」第6條規定取得製造許可之製造場所。 
管制量：爆竹煙火管理條例施行細則第4條所訂管制量。
可疑處所：易被利用非法製造及儲存爆竹煙火之可疑處所，如山上或海邊各隱僻地點之廢棄工寮或房屋等處所。"""
820,完全以電能為動力之電動小客車使用牌照稅稅額表,380260000D 【地方稅務局】,不定期,CSV,馬達最大馬力_英制馬力(馬達最大馬力_英制馬力)、馬達最大馬力_公制馬力(馬達最大馬力_公制馬力)、車輛種類及稅額(新臺幣/元)_自用(車輛種類及稅額 新臺幣/元_自用)、車輛種類及稅額(新臺幣/元)_營業(車輛種類及稅額 新臺幣/元_營業),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8df0a4b7-2fb2-47cc-a92b-6c3bd505f62b,公共資訊 (948),完全以電能為動力之電動小客車使用牌照稅稅額表,馬達最大馬力_英制馬力(馬達最大馬力_英制馬力)、馬達最大馬力_公制馬力(馬達最大馬力_公制馬力)、車輛種類及稅額(新臺幣/元)_自用(車輛種類及稅額 新臺幣/元_自用)、車輛種類及稅額(新臺幣/元)_營業(車輛種類及稅額 新臺幣/元_營業),原始資料,CSV,2018-04-11 14:23:19,380260000D 【地方稅務局】,10,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""使用牌照稅, 電動小客車""",2017-02-16 11:32:36,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,
821,文化資產,380330000E 【文化局】,不定期,CSV,編號(數量編號)、類別(文化資產類別)、名稱(文化資產名稱)、公告日期(文化資產公告日期)、簡介(文化資產簡介)、地址或位置(文化資產地址或位置)、參考網址(文化資產網址),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8e04a93e-bba9-4337-860b-5216d67f152c,公共資訊 (948),提供本市文化資產資訊，內容包含文化資產類別、名稱、公告日期、簡介、地址、參考網址等資料。,編號(數量編號)、類別(文化資產類別)、名稱(文化資產名稱)、公告日期(文化資產公告日期)、簡介(文化資產簡介)、地址或位置(文化資產地址或位置)、參考網址(文化資產網址),原始資料,CSV,2018-03-14 13:22:01,380330000E 【文化局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""古蹟, 文化局, 文化資產, 歷史建築, 公共資訊""",2015-10-06 02:44:58,傅小姐,03-3322592#8625,10064217@mail.tycg.gov.tw,
822,經濟部優良市集認證名單,380170000G 【經濟發展局】,不定期,CSV,年度(106)、認證星等(4)、區(中壢)、市集名稱(興國公有零售市場)、市集地址(桃園市中壢區中豐路96號),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8e0feea0-87ad-4dd6-ae03-db3bd726f64b,公共資訊 (948),106年桃園市優良市集認證名單,年度(106)、認證星等(4)、區(中壢)、市集名稱(興國公有零售市場)、市集地址(桃園市中壢區中豐路96號),原始資料,CSV,2018-03-09 16:20:30,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""106年桃園市優良市集, 經濟部優良市集認證名單, 市集""",2017-11-27 17:33:03,趙柏安,03-3366695#30,096010@mail.tycg.gov.tw,
823,桃園市政府禁止遊動廣告物車輛停放路段及時間一覽表,380290000H 【交通局】,不定期,"""PDF, CSV""",編號(編號)、區域(區域)、路段別(路段別)、禁停路段(禁停路段),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8e57f2a9-a720-4b9b-b037-3472a3f50fc1,交通及通訊 (125),桃園市政府禁止遊動廣告物車輛停放路段及時間一覽表,編號(編號)、區域(區域)、路段別(路段別)、禁停路段(禁停路段),原始資料,"""PDF, CSV""",2018-04-11 17:57:51,380290000H 【交通局】,2,,,政府資料開放授權條款－第1版,,,,,"""UTF-8, Big5""","""遊動廣告物車輛, 禁止停放路段及時間""",2017-07-19 13:36:45,李冠頡,03-3322101#6863,10023375@mail.tycg.gov.tw,
824,桃園市政府公報閱覽地點,380010000A 【秘書處】,不定期,CSV,City(城市)、Area(地區)、Reading_Room(閱覽地點)、Address(地址),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8efe9d25-649a-4777-8b26-5a5c4f849e2a,公共資訊 (948),開放民眾閱覽公報地點,City(城市)、Area(地區)、Reading_Room(閱覽地點)、Address(地址),原始資料,CSV,2018-03-08 10:21:23,380010000A 【秘書處】,41,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""桃園市政府公報, 公報""",2017-05-16 13:24:32,徐小姐,03-3322101#6608,10019136@mail.tycg.gov.tw,
825,100年桃園市土地公告現值-中壢,380160000A 【地政局】,不定期,CSV,行政區(行政區名稱)、段小段(地段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8f3c6efa-3315-4ee5-aba3-6b6d7a2ce163,購屋及遷徒 (195),100年桃園市桃園土地公告現值,行政區(行政區名稱)、段小段(地段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),原始資料,CSV,2018-04-12 19:24:06,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 100, 桃園""",2017-11-22 10:39:27,王先生,03-3322101#5353,10029563@mail.tycg.gov.tw,
826,桃園市政府教育局志工表揚獲獎人次統計表,380040000E 【教育局】,不定期,CSV,類別(類別)、終身楷模(終身楷模)、金質獎(金質獎)、銀質獎(銀質獎)、銅質獎(銅質獎)、小計(小計),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8f415a66-143b-456e-8350-f7c5d8989738,生活安全及品質 (144),桃園市政府教育局志工表揚獲獎人次統計表,類別(類別)、終身楷模(終身楷模)、金質獎(金質獎)、銀質獎(銀質獎)、銅質獎(銅質獎)、小計(小計),原始資料,CSV,2018-03-13 16:50:11,380040000E 【教育局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""生活安全及品質, 教育局""",2017-02-16 14:57:39,蔣小姐,03-3322101#7472,nancy31636@ms.tyc.edu.tw,
827,103年桃園市土地公告現值,380160000A 【地政局】,不定期,CSV,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8f631a96-786d-4b7b-b32f-8a0634ad53c1,購屋及遷徒 (195),103年桃園市土地公告現值,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),原始資料,CSV,2018-03-20 09:33:18,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 桃園, 103""",2016-12-26 16:17:37,莊欣樵,03-3322101#5353,122061@mail.tycg.gov.tw,
828,桃園市婦女發展中心,380120000J 【社會局】,不定期,CSV,中心名稱(中心名稱)、服務區域(服務區域)、電話(電話)、地址(地址)、服務內容(服務內容)、服務對象(服務對象),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8fa56efe-dcb9-484c-bf07-3e3789a491ea,公共資訊 (948),為推動婦女福利，以多元管道提供桃園市婦女福利資訊，置入性別平權概念，提供桃園市婦女公共參與機會，開發婦女潛能，提升婦女能量及視野，強化婦女組織之能力與發展，以「平等」、「尊嚴」、「創新」、「發展」之核心目標，設置婦女發展中心。,中心名稱(中心名稱)、服務區域(服務區域)、電話(電話)、地址(地址)、服務內容(服務內容)、服務對象(服務對象),原始資料,CSV,2018-03-21 14:42:18,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,Big5,婦女福利機構,2016-06-13 07:23:14,魏先生,(03)3322101#6424,10029126@mail.tycg.gov.tw,
829,桃園市現有雨水下水道系統建設分佈位置,380250000G 【水務局】,每月,KMZ,KMZ資料,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8fb9680f-e926-45e8-8da9-c4ae63f08358,公共資訊 (948),全桃園市雨水下水道管路分布圖,KMZ資料,原始資料,KMZ,2016-10-03 17:59:30,380250000G 【水務局】,2,2010/1/14,,政府資料開放授權條款－第1版,,,,,Big5,"""桃園市, 管線分布, 雨水下水道管線, 水務局, 公共資訊""",2015-10-08 06:27:57,鍾先生,03-3033688轉3730,10015074@mail.tycg.gov.tw,
830,桃園市消防緊急救護服務,380320000A 【消防局】,每月,CSV,區域別(桃園市十三個行政區及其他縣市區域)、月底救護車輛數_一般救護車(消防機關現有一般救護車輛數。)、月底救護車輛數_加護救護車(消防機關現有加護救護車輛數。)、救護出勤次數_送醫次數(消防機關緊急救護出勤，有送醫次數。)、救護出勤次數_未運送次數(消防機關受理救護案件救護出勤，因未發現_誤報_中途取消_出勤待命_不需要_拒送_警察處理_現場死亡等因素，最後未載送救護對象之次數。)、急救送醫人次_急病(消防機關救護人員緊急救護出勤，服務救護對象為急病之總人次。)、急救送醫人次_疑似毒藥物中毒(消防機關救護人員緊急救護出勤，服務救護對象為疑似毒藥物中毒之總人次。)、急救送醫人次_疑似一氧化碳中毒(消防機關救護人員緊急救護出勤，服務救護對象為疑似一氧化碳中毒之總人次。)、急救送醫人次_癲癇或抽搐(消防機關救護人員緊急救護出勤，服務救護對象為癲癇或抽搐之總人次。)、急救送醫人次_路倒(消防機關救護人員緊急救護出勤，服務救護對象為路倒之總人次。)、急救送醫人次_行為急症或精神異常(消防機關救護人員緊急救護出勤，服務救護對象為行為急症或精神異常之總人次。)、急救送醫人次_孕婦急產(消防機關救護人員緊急救護出勤，服務救護對象為孕婦急產之總人次。)、急救送醫人次_溺水(消防機關救護人員緊急救護出勤，服務救護對象為溺水之總人次。)、急救送醫人次_非創傷類到院前心肺功能停止(消防機關救護人員緊急救護出勤，服務救護對象為非創傷之到院前心肺功能停止之總人次。)、急救送醫人次_非創傷類其他(消防機關救護人員緊急救護出勤，服務救護對象為非創傷類其他之總人次。)、急救送醫人次_一般外傷(消防機關救護人員緊急救護出勤，服務救護對象為一般外傷之總人次。)、急救送醫人次_車禍受傷(消防機關救護人員緊急救護出勤，服務救護對象為車禍受傷之總人次。)、急救送醫人次_墜落傷(消防機關救護人員緊急救護出勤，服務救護對象為墜落傷之總人次。)、急救送醫人次_穿刺傷(消防機關救護人員緊急救護出勤，服務救護對象為穿刺傷之總人次。)、急救送醫人次_燒燙傷(消防機關救護人員緊急救護出勤，服務救護對象為燒燙傷之總人次。)、急救送醫人次_電擊傷(消防機關救護人員緊急救護出勤，服務救護對象為電擊傷之總人次。)、急救送醫人次_生物咬螫傷(消防機關救護人員緊急救護出勤，服務救護對象為生物咬螫傷之總人次。)、急救送醫人次_創傷類到院前心肺功能停止(消防機關救護人員緊急救護出勤，服務救護對象為創傷之到院前心肺功能停止之總人次。)、急救送醫人次_創傷類其他(防機關救護人員緊急救護出勤，服務救護對象為創傷類其他之總人次。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8ff1cbd1-423a-4e27-9bed-7d29719afdda,生活安全及品質 (144),提供本局緊急救護車輛數、救護出勤次數、急救送醫人次。,區域別(桃園市十三個行政區及其他縣市區域)、月底救護車輛數_一般救護車(消防機關現有一般救護車輛數。)、月底救護車輛數_加護救護車(消防機關現有加護救護車輛數。)、救護出勤次數_送醫次數(消防機關緊急救護出勤，有送醫次數。)、救護出勤次數_未運送次數(消防機關受理救護案件救護出勤，因未發現_誤報_中途取消_出勤待命_不需要_拒送_警察處理_現場死亡等因素，最後未載送救護對象之次數。)、急救送醫人次_急病(消防機關救護人員緊急救護出勤，服務救護對象為急病之總人次。)、急救送醫人次_疑似毒藥物中毒(消防機關救護人員緊急救護出勤，服務救護對象為疑似毒藥物中毒之總人次。)、急救送醫人次_疑似一氧化碳中毒(消防機關救護人員緊急救護出勤，服務救護對象為疑似一氧化碳中毒之總人次。)、急救送醫人次_癲癇或抽搐(消防機關救護人員緊急救護出勤，服務救護對象為癲癇或抽搐之總人次。)、急救送醫人次_路倒(消防機關救護人員緊急救護出勤，服務救護對象為路倒之總人次。)、急救送醫人次_行為急症或精神異常(消防機關救護人員緊急救護出勤，服務救護對象為行為急症或精神異常之總人次。)、急救送醫人次_孕婦急產(消防機關救護人員緊急救護出勤，服務救護對象為孕婦急產之總人次。)、急救送醫人次_溺水(消防機關救護人員緊急救護出勤，服務救護對象為溺水之總人次。)、急救送醫人次_非創傷類到院前心肺功能停止(消防機關救護人員緊急救護出勤，服務救護對象為非創傷之到院前心肺功能停止之總人次。)、急救送醫人次_非創傷類其他(消防機關救護人員緊急救護出勤，服務救護對象為非創傷類其他之總人次。)、急救送醫人次_一般外傷(消防機關救護人員緊急救護出勤，服務救護對象為一般外傷之總人次。)、急救送醫人次_車禍受傷(消防機關救護人員緊急救護出勤，服務救護對象為車禍受傷之總人次。)、急救送醫人次_墜落傷(消防機關救護人員緊急救護出勤，服務救護對象為墜落傷之總人次。)、急救送醫人次_穿刺傷(消防機關救護人員緊急救護出勤，服務救護對象為穿刺傷之總人次。)、急救送醫人次_燒燙傷(消防機關救護人員緊急救護出勤，服務救護對象為燒燙傷之總人次。)、急救送醫人次_電擊傷(消防機關救護人員緊急救護出勤，服務救護對象為電擊傷之總人次。)、急救送醫人次_生物咬螫傷(消防機關救護人員緊急救護出勤，服務救護對象為生物咬螫傷之總人次。)、急救送醫人次_創傷類到院前心肺功能停止(消防機關救護人員緊急救護出勤，服務救護對象為創傷之到院前心肺功能停止之總人次。)、急救送醫人次_創傷類其他(防機關救護人員緊急救護出勤，服務救護對象為創傷類其他之總人次。),原始資料,CSV,2018-06-15 15:38:01,380320000A 【消防局】,247,2016-12-01,2018-05-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""急救送醫人次, 緊急救護, 出勤次數, 車輛數""",2016-05-04 09:21:43,鍾小姐,03-3379119-314,alliechang@mail.tyfd.gov.tw,
831,桃園藝文,380330000E 【文化局】,每月,CSV,刊物(2018年7月號「桃園藝文」中文手冊)、出刊日(2018/6/27)、電子版下載(https://ppt.cc/fjEo5x),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=8ff4c96c-dd8e-4061-961f-4f0a4be560fb,休閒旅遊 (72),藝文活動資訊,刊物(2018年7月號「桃園藝文」中文手冊)、出刊日(2018/6/27)、電子版下載(https://ppt.cc/fjEo5x),原始資料,CSV,2018-06-27 14:12:28,380330000E 【文化局】,,,,政府資料開放授權條款－第1版,,,,,Big5,桃園藝文,2016-02-03 04:42:57,周小姐,03-3322592#8215,10012363@mail.tycg.gov.tw,
