編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
554,105年臺中市統計年報-財政金融類,收錄本市財政金融相關統計數據,http://opendata.taichung.gov.tw/dataset/1b392a51-1b54-11e8-8f43-00155d021202,臺中市地方總預算與附屬單位預算及其決算編列情形 、臺中市地方總預決算歲入來源、臺中市地方總預決算賸餘及融資調度、臺中市地方總預決算歲入－按經資門分、臺中市地方總預決算歲出－按經資門分、臺中市地方總預決算歲入－按來源別分、臺中市地方總預決算歲出－按政事別分、臺中市地方總預決算歲出－按主管機關別分、臺中市各項特別預決算－歲入、臺中市各項特別預決算－歲出、臺中市營業基金收支情形、臺中市營業基金收支情形－基金別、臺中市作業基金收支情形、臺中市作業基金收支情形－基金別、臺中市政事型特種基金基金來源及用途情形、臺中市,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,25,臺中市政府主計處,劉家瑋,04-22289111-19314,臺中市、臺中市各行政區,中文,rawData,財政金融,
555,106年臺中市統計年報-勞動就業類,收錄本市勞動就業相關統計數據,http://opendata.taichung.gov.tw/dataset/85950b9c-96a7-4720-99e1-9629ec9137ce,臺中市15歲以上人口勞動力狀況及指標、臺中市勞動力之年齡分配、臺中市勞動力參與率、臺中市就業人口之行業、臺中市就業人口之職業、臺中市就業人口之從業身分、臺中市就業人口之教育程度及年齡、臺中市失業人口之教育程度及年齡、臺中市政府推介就業服務概況、臺中市政府推介就業服務－求職人年齡別、臺中市政府推介就業服務－求職人教育程度別、臺中市政府推介就業服務－求職人職業需求別、臺中市政府推介就業服務－就業者(新登記)職業別、臺中市勞工團體概況、臺中市事業單位團體協約及勞資會議、臺中市勞工服務中心服務概況、臺中市勞工保險各類投保單位數及人數、臺中市勞工教育及志願服務概況、臺中市職工福利機構概況、臺中市勞資爭議案件、臺中市勞工重大職業災害 、臺中市外籍勞工人數,一般民眾,https://data.gov.tw/license,每年,免費,公共資訊,202,臺中市政府主計處,劉家瑋,04-22289111#19314,全臺中市,中文,rawData,"勞動就業,統計年報",
556,臺中市警察局103年2月份交通事故資料,臺中市警察局103年2月份交通事故資料,http://opendata.taichung.gov.tw/dataset/3b70543a-1a9f-11e8-8f43-00155d021202,臺中市警察局103年2月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,7325,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 交通事故",
557,臺中市政府警察局104年7月份交通事故資料,"臺中市政府警察局104年7月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b7097e9-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年7月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8398,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
558,臺中市替代役役男家屬104年安家費暨三節生活扶助金統計,臺中市替代役役男家屬104年安家費暨三節生活扶助金統計,http://opendata.taichung.gov.tw/dataset/3b71bf5d-1a9f-11e8-8f43-00155d021202,臺中市替代役役男家屬104年安家費暨三節生活扶助金統計,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,服兵役,87,臺中市政府民政局,李若萌,22289111  29503,,中文,rawData,替代役,
559,臺中市政府警察局105年4月份交通事故資料,"臺中市政府警察局105年4月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a53f-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年4月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8327,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
560,臺中市政府警察局105年8月份交通事故資料,"臺中市政府警察局105年8月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70ab11-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年8月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9164,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
561,臺中市政府警察局105年6月份交通事故資料,"臺中市政府警察局105年6月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a82c-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年6月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8986,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
562,臺中市非都市土地使用分區及使用地變更專責審議小組委員名單,106年臺中市非都市土地使用分區及使用地變更專責審議小組第7屆委員名單,http://opendata.taichung.gov.tw/dataset/3aff6d9b-1a9f-11e8-8f43-00155d021202,106年臺中市非都市土地使用分區及使用地變更專責審議小組第7屆委員名單,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府都市發展局,張聰偉,22289111#65113,,中文,rawData,"非都市土地, 使用地變",
563,105年度臺中市地方總預算第2次追加(減)預算 ,"105年度臺中市地方總預算第2次追加(減)預算相關預算書表
",http://opendata.taichung.gov.tw/dataset/3b09b6a3-1a9f-11e8-8f43-00155d021202,105年度臺中市地方總預算第2次追加(減)預算相關預算書表\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府主計處,羅珮嵐,(04)2228-9111#19108,臺中市,中文,rawData,追加(減)法定預算,
564,臺中市客家美食餐飲小吃名冊,臺中市客家美食小吃餐廳名稱及聯絡相關資料,http://opendata.taichung.gov.tw/dataset/3aff7068-1a9f-11e8-8f43-00155d021202,餐廳名稱、電話、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,40,臺中市政府客家事務委員會,蔡文祺,22289111#52303,,中文,rawData,客家美食小吃餐廳,
565,臺中市政府警察局105年10月份交通事故資料,"臺中市政府警察局105年10月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70adfc-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年7月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8972,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
566,臺中市政府警察局104年10月份交通事故資料,"臺中市政府警察局104年10月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b709c7a-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年10月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8592,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
567,臺中市政府警察局105年2月份交通事故資料,"臺中市政府警察局105年2月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a252-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年2月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8314,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
568,臺中市政府警察局路口監視器,臺中市政府警察局路口監視器,http://opendata.taichung.gov.tw/dataset/3af764da-1a9f-11e8-8f43-00155d021202,位置、攝影機組,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,5337,臺中市政府警察局,蔡耀元,04-23270915,,中文,rawData,"臺中市, 路口監視器",
569,臺中市警察局103年3月份交通事故資料,"臺中市警察局103年3月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70559f-1a9f-11e8-8f43-00155d021202,臺中市警察局103年3月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 交通事故",
570,臺中市政府警察局105年5月份交通事故資料,"臺中市政府警察局105年5月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a6b1-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年5月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9127,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
571,臺中市政府警察局105年1月份交通事故資料,"臺中市政府警察局105年1月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a0de-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年1月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,10134,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
572,105年度臺中市地方總預算第1次追加(減)預算 ,"105年度臺中市地方總預算第1次追加(減)預算相關預算書表
",http://opendata.taichung.gov.tw/dataset/3af76829-1a9f-11e8-8f43-00155d021202,105年度臺中市地方總預算第1次追加(減)預算相關預算書表\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府主計處,羅珮嵐,(04)2228-9111#19108,臺中市,中文,rawData,追加(減)法定預算,
573,臺中市103年2月份十大易肇事路段(口),臺中市103年2月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70b417-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
574,臺中市政府警察局105年12月份交通事故資料,"臺中市政府警察局105年12月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70b10a-1a9f-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
575,臺中市政府警察局105年3月份交通事故資料,"臺中市政府警察局105年3月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a3c5-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年3月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9475,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
576,臺中市政府警察局105年7月份交通事故資料,"臺中市政府警察局105年7月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70a99e-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年7月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9057,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
577,臺中市103年1月份十大易肇事路段(口),臺中市103年1月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70b29e-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
578,臺中市政府警察局105年11月份交通事故資料,"臺中市政府警察局105年11月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70af6f-1a9f-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
579,臺中市103年3月份十大易肇事路段(口),臺中市103年3月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70b585-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
580,臺中市103年4月份十大易肇事路段(口),臺中市103年4月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70b6f6-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 4月, 易肇事路段",
581,臺中市常備兵役男家屬104年安家費暨三節生活扶助金統計表,臺中市常備兵役男家屬104年安家費暨三節生活扶助金統計表,http://opendata.taichung.gov.tw/dataset/3b71bc83-1a9f-11e8-8f43-00155d021202,臺中市常備兵役男家屬104年安家費暨三節生活扶助金統計表,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,服兵役,58,臺中市政府民政局,李若萌,22289111  29503,,中文,rawData,常備役,
582,臺中市替代役役男家屬105年安家費暨三節生活扶助金統計表,臺中市替代役役男家屬105年安家費暨三節生活扶助金統計表,http://opendata.taichung.gov.tw/dataset/3b71c0cd-1a9f-11e8-8f43-00155d021202,臺中市替代役役男家屬105年安家費暨三節生活扶助金統計表,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,服兵役,87,臺中市政府民政局,李若萌,22289111  29503,,中文,rawData,替代役,
583,臺中市政府警察局104年11月份交通事故資料,"臺中市政府警察局104年11月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b709e02-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年11月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8871,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
584,臺中市103年8月份十大易肇事路段(口),臺中市103年8月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70be9b-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
585,臺中市103年9月份十大易肇事路段(口),臺中市103年9月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70c010-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
586,臺中市103年11月份十大易肇事路段(口),臺中市103年11月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70c429-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 11月, 易肇事路段",
587,105年臺中市統計年報-農林漁牧類,收錄本市農林漁牧相關統計數據,http://opendata.taichung.gov.tw/dataset/1b392bda-1b54-11e8-8f43-00155d021202,臺中市耕地面積、臺中市農戶人口數、臺中市稻米收穫面積及生產量、臺中市農產品收穫面積及生產量、臺中市漁業從業人員、臺中市漁戶數及漁戶人口數、臺中市現有動力漁船數、臺中市漁業生產量、臺中市水產養殖面積、臺中市現有家畜數、臺中市家畜屠宰頭數、臺中市乳母牛頭數及產乳量價值、臺中市現有家禽數量、臺中市水土保持處理面積、農林漁牧業普查臺中市概況、臺中市農路改善及維護工程、臺中市農田水利會灌溉排水受益地面積、臺中市遭難漁船數、臺中市遭難漁民數、臺中市森林主產物採伐面積及生產量、臺中市造林面積及數量,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,21,臺中市政府主計處,劉家瑋,04-22289111-19314,臺中市、臺中市各行政區,中文,rawData,農林漁牧,
588,臺中市政府警察局104年8月份交通事故資料,"臺中市政府警察局104年8月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70998d-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年8月份交通事故資料\r\n,一般民眾,https://data.gov.tw/license,每月,免費,交通資訊,8448,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年8月, 交通事故",
589,臺中市政府警察局104年12月份交通事故資料,"臺中市政府警察局104年12月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b709f73-1a9f-11e8-8f43-00155d021202,臺中市政府警察局104年12月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,10108,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
590,臺中市路口號誌箱,臺中市號誌箱設置地點 ,http://opendata.taichung.gov.tw/dataset/3b0c52ac-1a9f-11e8-8f43-00155d021202,行政區、號誌位置,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,5125,臺中市政府交通局,陳韋志,22289111 #60433,,中文,rawData,號誌,
591,臺中市道路中心線_TWD97,"原臺中市現場地面測量,TWD97",http://opendata.taichung.gov.tw/dataset/01fa1231-e8d2-4227-8123-8fe1baeb7456,圖名代碼、路名、地區、巷、弄、單雙向、左向車道數、右向車道數、速限、路寬、區分級別、長度、更新年度、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,28891,臺中市政府建設局,黃一峰,04-22289111轉33228,台中市,中文,rawData,"千分之一地形圖,道路",
592,106年臺中市統計年報-社會治安類,收錄本市社會治安相關統計數據,http://opendata.taichung.gov.tw/dataset/93116c83-261b-4709-9153-f860526ade9d,臺中市刑事案件、臺中市刑事案件類別統計、臺中市竊盜案件、臺中市暴力犯罪、臺中市兒童少年犯罪人數－案件及性別、臺中市違反毒品危害防制條例查獲數、臺中市經濟案件、臺中市違反社會秩序維護法案件、臺中市取締查處各類案件、臺中市防止及處理少年事件、臺中市警察機關處理集會遊行、臺中市舉發違反道路交通管理事件成果、臺中市警力配置,一般民眾,https://data.gov.tw/license,每年,免費,公共資訊,140,臺中市政府主計處,劉家瑋,04-22289111#19314,全臺中市,中文,rawData,"社會治安,統計年報",
593,臺中市104年1月份十大易肇事路段(口),臺中市104年1月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70c8b4-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
594,臺中市104年3月份十大易肇事路段(口),臺中市104年3月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70cbaf-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
595,臺中市104年5月份十大易肇事路段(口),臺中市104年5月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70ce9a-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
596,臺中市104年7月份十大易肇事路段(口),臺中市104年7月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d182-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
597,臺中市104年9月份十大易肇事路段(口),臺中市104年9月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d471-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
598,臺中市104年11月份十大易肇事路段(口),臺中市104年11月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d757-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
599,臺中市103年6月份十大易肇事路段(口),臺中市103年6月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70b9de-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
600,臺中市103年7月份十大易肇事路段(口),臺中市103年7月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70bd07-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
601,臺中市103年10月份十大易肇事路段(口),臺中市103年10月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70c189-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 10月, 易肇事路段",
602,臺中市103年12月份十大易肇事路段(口),臺中市103年12月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70c73a-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年, 易肇事路段",
603,臺中市政府警察局105年9月份交通事故資料,"臺中市政府警察局105年9月份交通事故資料
",http://opendata.taichung.gov.tw/dataset/3b70ac86-1a9f-11e8-8f43-00155d021202,臺中市政府警察局105年9月份交通事故資料\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8992,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年9月, 交通事故",
604,臺中市政府警察局106年7月份交通事故資料,臺中市政府警察局106年7月份交通事故資料,http://opendata.taichung.gov.tw/dataset/3b719e02-1a9f-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"交通事故,地理資料",
605,臺中市政府警察局106年6月份交通事故資料,"本局106年6月份交通事故逐案細部資料
",http://opendata.taichung.gov.tw/dataset/3b711132-1a9f-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"交通事故,地理資料",
606,臺中市客家社團名冊,臺中市客家社團名稱及聯絡資料,http://opendata.taichung.gov.tw/dataset/3aff71c0-1a9f-11e8-8f43-00155d021202,社團名稱、郵遞區號、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,45,臺中市政府客家事務委員會,蔡文祺,22289111#52303,,中文,rawData,客家社團,
607,臺中市104年2月份十大易肇事路段(口),臺中市104年2月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70ca28-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
608,臺中市104年4月份十大易肇事路段(口),臺中市104年4月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70cd24-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
609,臺中市104年6月份十大易肇事路段(口),臺中市104年6月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d010-1a9f-11e8-8f43-00155d021202,04-23274275,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
610,臺中市104年8月份十大易肇事路段(口),臺中市104年8月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d2fd-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
611,臺中市104年10月份十大易肇事路段(口),臺中市104年10月份十大易肇事路段(口),http://opendata.taichung.gov.tw/dataset/3b70d5e4-1a9f-11e8-8f43-00155d021202,轄區分局、路口名稱、發生時間、主要肇因、件數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 易肇事路段",
