"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"426","臺北市政府委託研究報告","臺北市政府研究發展考核委員會","每年","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=71d4f5aa-5d95-44b9-9ebb-d52f51f5e949","公共資訊","本府歷年委託研究報告資料。","年度、計畫名稱、機關名稱、研究單位、主持人、計畫摘要、出版年月、報告電子檔。","原始資料","2018-05-14 11:27:23","臺北市政府研究發展考核委員會","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2015-08-20 15:28:22","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"427","臺北市環境教育設施場所","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=2751d77f-594f-4f41-9a02-58f22edcbd71","求學及進修","臺北市環境教育設施場所名稱、地址、電話等資訊","縣市別,設施場所名稱,申請單位,設施場所地址或座落,聯絡電話,設施場所網址,核准日期","原始資料","2018-05-11 10:58:09","臺北市政府環境保護局","16","2016-01-01","2016-08-25","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","環境教育,環教","2016-05-19 15:38:20","陳妍靜","02-27208889-1778","la-alicex2017@mail.taipei.gov.tw",""
"428","臺北市環境教育機構","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=cb5c8e69-c3fb-4983-a442-6760c502589b","求學及進修","環境教育機構","縣市別,機構名稱,機構地址,聯絡電話,申請許可事項,核准日期,機關網址","原始資料","2018-05-11 10:56:51","臺北市政府環境保護局","5","2016-01-01","2016-04-29","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","環境教育,環教","2016-05-19 15:34:04","陳妍靜","02-27208889-1778","la-alicex2017@mail.taipei.gov.tw",""
"429","臺北市肇事路口","臺北市政府交通局","不定期","CSV,TXT,ods","https://beta.data.taipei/dataset/detail/metadata?id=0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc","公共資訊","臺北市肇事路口之排名、肇事時段統計、多事故路口統計，本資料不定期更新","Id(排名)、Rdname(多事故路口名稱)、A1a2(事故件數)、Occtime(該路口主要肇事時段)、Mreason(該路口主要肇事案件運具類型)、Xul_cord(路口空間範圍(TW97座標))、Yul_cord(路口空間範圍(TW97座標))、Xlr_cord(路口空間範圍(TW97座標))、Ylr_cord(路口空間範圍(TW97座標))","原始資料","2018-05-11 09:09:37","臺北市政府交通局","50","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF8,UTF-8","","2014-12-31 11:46:20","林宏勳","2725-6886","ga_ken2000@mail.taipei.gov.tw",""
"430","臺北市火災資料統計月報表","臺北市政府消防局","每月","CSV,xlsx","https://beta.data.taipei/dataset/detail/metadata?id=fddbf5f6-83e6-4505-af5e-0f0dd299df92","生活安全及品質","提供本市每月火災各項統計資訊","火災次數(TotalFire)
火災分類_建築物(FireKind_Building)、火災分類_森林田野(FireKind_ForestField)、火災分、類_車輛(FireKind_Vehicle)、火災分類_船舶(FireKind_Shipping)、火災分類_航空器、FireKind_Aircraft)、火災分類_其他(FireKind_Other)、起火時段_0-3(TimeSec1)、起火時段_3-6(TimeSec2)、起火時段_6-9(TimeSec3)、起火時段_9-12(TimeSec4)、起火時段_12-15(TimeSec5)、起火時段_15-18(TimeSec6)、起火時段_18-21(TimeSec7)、起火時段_21-24(TimeSec8)、死亡人數_男(Death_Male)、死亡人數_女(Death_Female)、受傷人數_男(Injured_Male)、受傷人數_女(Injured_Female)、建物高度_1至5(BuildingFloors_1-5)、建物高度_6至12(BuildingFloors_6-12)、建物高度_13至19(BuildingFloors_13-19)、建物高度_20至29(BuildingFloors_20-29)、建物高度_30以上(BuildingFloors_30more)、建物用途_住宅(BuildingUse_Residential)、建物用途_營業場所(BuildingUse_BusinessPremises)、建物用途_作業場所(BuildingUse_Workplace)
建物用途_倉庫(BuildingUse_Warehouse)、建物用途_空屋或修建中(BuildingUse_UnfurnishedOrConstruct)、建物用途_公共設施BuildingUse_PublicFacilities)、建物用途_其他(BuildingUse_Other)
起火處所_客廳(FirePlace_LivingRoom)、起火處所_餐廳(FirePlace_Restaurant)、起火處所_臥室(FirePlace_Bedroom)、起火處所_書房(FirePlace_Study)、起火處所_廚房(FirePlace_Kitchen)、起火處所_浴廁(FirePlace_Bathroom)、起火處所_神龕(FirePlace_Shrine)、起火處所_陽台(FirePlace_Balcony)、起火處所_庭院(FirePlace_Patio)、起火處所_辦公室(FirePlace_Office)、起火處所_教室、(FirePlace_Classroom)、起火處所_倉庫(FirePlace_Warehouse)、起火處所_機房(FirePlace_EngineRoom)、起火處所_攤位(FirePlace_Booth)、起火處所_工寮(FirePlace_Gongliao)、起火處所_樓梯間(FirePlace_Staircase)
起火處所_電梯(FirePlace_Elevator)、起火處所_管道間(FirePlace_InterPipeline)、
起火處所_走廊(FirePlace_Corridor)、起火處所_停車場(FirePlace_ParkingLot)、起火處所_騎樓下(FirePlace_Arcade)、起火處所_路邊(FirePlace_Roadside)、起火處所_墓地(FirePlace_Cemetery)、起火處所_其他(FirePlace_Other)、起火原因_人為縱火(FireCause_Arson)、起火原因_自殺(FireCause_Suicide)、起火原因_燈燭(FireCause_Candle)、起火原因_爐火烹調(FireCause_Cooking)、起火原因_敬神掃墓祭祖(FireCause_Worship)、起火原因_菸蒂(FireCause_Cigarette)、起火原因_電氣因素(FireCause_Electrical)、起火原因_機械設備(FireCause_Equipment)、起火原因_玩火(FireCause_PlayFire)、起火原因_烤火(FireCause_Roast)、起火原因_施工不慎(FireCause_Construction)、起火原因_易燃品自燃(FireCause_Flammable)
起火原因_瓦斯漏氣或爆炸(FireCause_Gas)、起火原因_化學物品(FireCause_Chemicals)
起火原因_燃放爆竹(FireCause_Firecrackers)、起火原因_交通事故、(FireCause_TrafficAccidents)、起火原因_天然災害(FireCause_NaturalDisasters)
起火原因_原因不明(FireCause_Unexplained)、起火原因_其他(FireCause_Other)","原始資料","2018-05-10 14:15:53","臺北市政府消防局","180","2015-07-01","","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8,utf-8","","2015-08-17 11:19:24","黃文萱","27297668#8123","nancy@tfd.gov.tw",""
"431","徵集人數統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=9ba6a32c-6571-4419-88b6-634f0c3fc738","服兵役","臺北市徵集人數統計","項目,一般教育程度常備兵陸軍,一般教育程度常備兵海軍艦艇兵,一般教育程度常備兵海軍陸戰隊,一般教育程度常備兵空軍,一般教育程度常備兵憲兵,一般教育程度常備兵合計,大專畢業程度常備兵陸軍,大專畢業程度常備兵海軍艦艇兵,大專畢業程度常備兵海軍陸戰隊,大專畢業程度常備兵空軍,大專畢業程度常備兵憲兵,大專畢業程度常備兵合計,補充兵,預官預士,總計,備註","原始資料","2018-05-08 16:23:01","臺北市政府兵役局","14","2015-04-01","2015-04-30","依政府資料開放授權條款-第1版","免費","無","無","","Big5,utf-8","性平","2015-05-19 15:58:53","卓永平","(02)23654361分機722","ao-aj7324@mail.taipei.gov.tw",""
"432","臺北市土壤液化潛勢圖","臺北市政府工務局","不定期","","https://beta.data.taipei/dataset/detail/metadata?id=ec40e067-930f-4058-b7dc-71399d5f3147","公共資訊","臺北市土壤液化潛勢圖層
提供TWD97 及 WGS84座標","本資料為geojson格式，欄位包括液化潛勢類別，液化潛勢名稱，網站連結
(geometry(""type"": ""Polygon"", ""coordinates"":(座標範圍))","原始資料","2018-05-08 10:35:06","臺北市政府工務局","6","2016-09-10","2018-03-23","依政府資料開放授權條款-第1版","免費","","","","","","2016-09-10 10:14:40","吳奕哲","02-27208889-6791","bt-kerowu@mail.taipei.gov.tw",""
"433","臺北市環保局操作維護之水質淨化設施資料","臺北市政府環境保護局","不定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=407fd3f9-6cff-4143-9a0d-7e1feb3dc8c2","公共資訊","操作維護之水質淨化設施資料","檢測項目、單位、檢測值","原始資料","2018-05-08 08:32:11","臺北市政府環境保護局","4","2016-03-01","2017-12-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","水質","2016-05-19 14:12:41","胡宛琳","02-27208889-7261","la-garfield@mail.taipei.gov.tw",""
"434","臺北美食環遊世界136家世界美食餐廳名單","臺北市商業處","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=d26b2e0e-ca5e-4989-8bb8-f028d043c42f","休閒旅遊","臺北美食環遊世界136家世界美食餐廳名單","菜系、餐廳名稱、地址、電話、網址、備註","網路服務","2018-05-03 14:58:07","臺北市商業處","136筆","","2018-05-03","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2018-05-03 14:55:23","劉盈君","02-27208889-6500","cx_15099@mail.taipei.gov.tw",""
"435","臺北市青年創業融資貸款","臺北市政府產業發展局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=8d7527ee-1998-4101-9f96-6fe60137c266","開創事業","臺北市青年創業融資貸款。","期間、受理申請件數、核准件數、核准金額","原始資料","2018-05-02 16:08:36","臺北市政府產業發展局","58","2012-12-03","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","產業經濟,融資貸款","2015-08-21 17:35:39","石子翎","02-27208889-6613","ea-40023@mail.taipei.gov.tw",""
"436","臺北市中小企業融資貸款","臺北市政府產業發展局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=e36d0ebc-bf6e-442d-bf39-9d2e239780de","開創事業","臺北市中小企業融資貸款。","期間、受理申請件數、核准件數、核准金額","原始資料","2018-05-02 16:08:04","臺北市政府產業發展局","58","2012-12-03","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","產業經濟,融資貸款","2015-08-21 17:31:21","石子翎","02-27208889-6613","ea-40023@mail.taipei.gov.tw",""
"437","臺北市地下水監測結果","臺北市政府環境保護局","每季","ods,XLS","https://beta.data.taipei/dataset/detail/metadata?id=4e4d4023-1b84-4cf2-806a-90c82576efb4","公共資訊","提供臺北市地下水監測結果","監測井編號及井址、採樣時間、天氣狀況、採樣水位、水溫、pH、導電度、氨氮、氯鹽、硫酸鹽、硫酸鹽氮、總溶解固體、總硬度、鎘、銅、汞、鉛、鋅、砷、大腸桿菌群","原始資料","2018-05-01 15:13:26","臺北市政府環境保護局","","2015-01-01","2017-09-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8,utf-8","地下水,環境,環境保護,監測","2015-08-03 08:57:51","卓昕岑","02-28237026","la-maoneow@mail.taipei.gov.tw",""
"438","臺北市水質監測站基本資料","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=ab067898-6eaa-45e6-b3be-a4169de2b600","公共資訊","臺北市現有水質監測站名稱與位置","測站名稱、河川名稱、測站位置","原始資料","2018-05-01 14:40:46","臺北市政府環境保護局","16","2013-01-01","2016-05-01","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","水質監測站,河川","2014-12-31 11:50:17","卓昕岑","02-28237026","la-maoneow@mail.taipei.gov.tw",""
"439","臺北市噪音監測結果","臺北市政府環境保護局","每季","ods","https://beta.data.taipei/dataset/detail/metadata?id=029ba2a7-2ae1-40fe-b310-013a842d56c2","公共資訊","提供臺北市噪音監測結果","臺北市一般地區環境音量監測不合格情形：期間,管制區,總計監測站數,總計不合格時段數,總計不合格率,日間不合格站數,日間不合格率,晚間不合格站數,晚間不合格率,夜間不合格站數,夜間不合格率
臺北市道路交通音量監測不合格情形：期間,管制區,總計監測站數,總計不合格時段數,總計不合格率,日間不合格站數,日間不合格率,晚間不合格站數,晚間不合格率,夜間不合格站數,夜間不合格率","原始資料","2018-05-01 14:25:02","臺北市政府環境保護局","90","2015-01-01","2017-03-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","噪音,環境,環境保護,監測","2015-08-03 08:54:04","卓昕岑","02-28237026","la-maoneow@mail.taipei.gov.tw",""
"440","臺北市政府市政信箱(已異動為HELLO TAIPEI)及1999資訊","臺北市政府研究發展考核委員會","不定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=82f84ae8-4ccf-4073-b493-949044054b50","公共資訊","便於民眾查詢本府市政信箱及1999等資訊","「縣市名稱-該縣市名稱」、「縣市內1999電話-民眾於該縣市內播打1999電話之電話號碼」、「縣市外1999電話- 民眾於別縣市撥打該縣市1999電話之電話號碼」、「縣市市政信箱網頁-該縣市線上反應市政/民意之網頁」、「縣市市政電子郵件信箱地址-該縣市讓民眾使用電子郵件寄信反應市政/民意之電子郵件信箱地址」","原始資料","2018-05-01 12:00:15","臺北市政府研究發展考核委員會","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2017-09-18 13:38:20","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"441","臺北市政府年度施政計畫","臺北市政府研究發展考核委員會","每年","docx","https://beta.data.taipei/dataset/detail/metadata?id=da295d04-5b84-4f32-b793-6bb29178653b","公共資訊","本府各機關就年度內應辦理之事項所編訂之施政計畫","施政綱要及施政計畫","原始資料","2018-05-01 11:42:40","臺北市政府研究發展考核委員會","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2015-07-30 16:46:19","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"442","各機關權管業務法令授權得公布違規者相關資料規定調查表","臺北市政府研究發展考核委員會","不定期","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=4de39d42-c2d5-4f7d-a58a-9e0928a8125b","公共資訊","各機關權管業務所涉中央或地方法令之「罰則」規定中，是否定有授權各機關得公布違規者（包括個人、公司、行號或團體）之姓名、名稱、地址及其他相關資料規定之調查結果","機關名稱,業務項目,法規名稱,條文項次及內容,目前執行情形","原始資料","2018-05-01 11:39:07","臺北市政府研究發展考核委員會","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","法規,罰則","2015-12-04 12:31:12","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"443","年度施政計畫選項列管項目一覽表","臺北市政府研究發展考核委員會","每年","doc,odt","https://beta.data.taipei/dataset/detail/metadata?id=1793c5be-d306-48a3-be54-6248f50df4e3","公共資訊","呈現施政計畫選項列管項目。","計畫編號、計畫名稱、主辦機關。","原始資料","2018-05-01 11:38:32","臺北市政府研究發展考核委員會","","2014-10-01","2014-11-20","依政府資料開放授權條款-第1版","免費","","","","UTF-8","列管,施政計畫","2015-08-13 11:39:29","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"444","年度施政計畫選項作業計畫","臺北市政府研究發展考核委員會","每年","doc,odt","https://beta.data.taipei/dataset/detail/metadata?id=cee3b76b-d5ef-41aa-9c38-20e9add75f16","公共資訊","呈現臺北市政府列管施政計畫選項作業計畫。","機關名稱、計畫編號、計畫名稱、主協辦機關、執行地點、計畫類別、列管等級、計畫期程。","原始資料","2018-05-01 11:31:23","臺北市政府研究發展考核委員會","","2014-12-01","2014-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8","施政計畫","2015-08-13 11:41:49","宋穎欣","02-27208889-2276","wa-0280@mail.taipei.gov.tw",""
"445","臺北市110受理民眾報案統計表","臺北市政府警察局","每月","XLS","https://beta.data.taipei/dataset/detail/metadata?id=adf883b4-4143-4e74-9c9c-8755d65b8fa6","公共資訊","臺北市110受理民眾報案統計表10704","臺北市110受理民眾報案統計表10704","網路服務","2018-05-01 11:24:04","臺北市政府警察局","","2018-04-01","2018-04-30","依政府資料開放授權條款-第1版","無","","","","utf-8","","2018-05-01 11:23:27","林國棟","23831566","ar18674@police.taipei",""
"446","臺北市飲用水檢驗測定機構","臺北市政府環境保護局","不定期","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=bc190b5d-699a-4094-818f-2165d92f8126","公共資訊","取得中央主管機關核發許可證之環境檢驗測定機構","許可字號、檢驗機構名稱、許可期限、檢驗室名稱、檢驗室地址、電話、傳真				
","原始資料","2018-05-01 11:08:12","臺北市政府環境保護局","5筆","2016-01-01","2016-06-28","依政府資料開放授權條款-第1版","免費","無","無","http://www.niea.gov.tw/asp/epa/epa_wel.asp","utf-8","飲用水","2016-05-19 14:00:25","陳仕愷","02-27287261","la-kay123@mail.taipei.gov.tw",""
"447","臺北市公共場所飲水機資訊","臺北市政府環境保護局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=f158e1bc-8400-44c2-a93a-e09361ddb7f5","公共資訊","提供民眾本市公共場所設置飲用水設備相關資訊，包含設置場所之地點、設置飲水機數量及管理單位聯絡方式等資訊。","臺北市公共場所飲水機資訊：行政區、場所名稱、場所地址、管理單位、連絡電話、場所開放時間、飲水台數、設置、緯度、經度
Taipei drinking fountains in public places Information:Administrative area,Place Name,Accommodation address,Management Unit,Telephone,Place Opening Hours,Drinking Fountains Quantity,Latitude,Longitude","原始資料","2018-05-01 11:05:40","臺北市政府環境保護局","469","2014-12-25","2017-09-18","依政府資料開放授權條款-第1版","免費","無","無","","utf-8,UTF-8","公共場所,飲水機,飲用水","2015-03-19 15:09:18","陳仕愷","02-27287261","la-kay123@mail.taipei.gov.tw",""
"448","臺北市飲用水水質檢驗資料","臺北市政府環境保護局","不定期","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=08ecfe4c-ea2f-4f30-bc14-c8d0b030e953","公共資訊","臺北市自來水供水系統管線水質檢測結果","稽查日期,檢驗點,大腸桿菌群,總菌落數,自由有效餘氯,氫離子濃度指數","原始資料","2018-05-01 11:04:21","臺北市政府環境保護局","929","2016-01-01","2017-07-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","水質,水質檢測,自來水,飲用水","2016-05-19 14:20:47","陳仕愷","02-27287261","la-kay123@mail.taipei.gov.tw",""
"449","社會福利統計_低收入戶18歲以上就學生活補助申請","臺北市政府社會局","每年","","https://beta.data.taipei/dataset/detail/metadata?id=06f26dfa-ef25-4c00-a80e-ec5dc28aaebb","公共資訊","社會福利統計_低收入戶18歲以上就學生活補助申請資料呈現於【社會局局網> 統計資料 > 相關業務年度統計】","社會福利統計_低收入戶18歲以上就學生活補助申請","網路服務","2018-04-30 18:09:33","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-05 11:03:38","劉冠吟","02-27597726","ha-ciny@mail.taipei.gov.tw",""
"450","社會福利統計_老人收容安置補助","臺北市政府社會局","每年","","https://beta.data.taipei/dataset/detail/metadata?id=411bef54-dbb6-4f3d-a798-ff30043544d3","公共資訊","社會福利統計_老人收容安置補助資料呈現於【社會局局網> 統計資料 > 相關業務年度統計】","社會福利統計_老人收容安置補助","網路服務","2018-04-30 18:07:39","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-06 08:39:26","廖姿雅","02-27208889-1618","cross7@mail.taipei.gov.tw",""
"451","社會福利統計_受理基金會申請設立許可","臺北市政府社會局","每年","","https://beta.data.taipei/dataset/detail/metadata?id=40e2679e-e007-4ae9-b6ca-d9af48995942","公共資訊","社會福利統計_受理基金會申請設立許可資料呈現於【社會局局網 > 統計資料 > 相關業務年度統計】","社會福利統計_受理基金會申請設立許可","網路服務","2018-04-30 18:05:19","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-06 14:05:12","謝宜穎","02-27256957-6957","ha-yiying@mail.taipei.gov.tw",""
"452","社會福利統計_婦女中途之家","臺北市政府社會局","每年","","https://beta.data.taipei/dataset/detail/metadata?id=98e1d01c-ef95-48db-aed1-a5e9e4b941fa","公共資訊","社會福利統計_婦女中途之家資料呈現於【社會局局網> 統計資料 > 相關業務年度統計】","社會福利統計_婦女中途之家","網路服務","2018-04-30 18:01:05","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","性別平等,性平","2015-08-06 10:33:30","陳華如","02-27011828","shark0127@mail.taipei.gov.tw",""
"453","社會福利統計_低收入戶及中低收入戶申請","臺北市政府社會局","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=9d7f800d-33b9-44cb-8c5b-187cb00c017e","公共資訊","社會福利統計_低收入戶及中低收入戶申請資料呈現於【社會局局網>統計資料 > 預告統計資料發布時間表】","社會福利統計_低收入戶及中低收入戶申請","網路服務","2018-04-30 17:47:12","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-04 09:26:07","劉冠吟","02-27597726","ha-ciny@mail.taipei.gov.tw",""
"454","社會福利統計_身心障礙者輔具費用補助","臺北市政府社會局","每季","ods","https://beta.data.taipei/dataset/detail/metadata?id=c356c62b-4930-4f31-be5b-71aff0b87855","公共資訊","社會福利統計_身心障礙者輔具費用補助資料呈現於【社會局局網> 公益彩券 > 補助團體一覽表】","身心障礙者輔具費用補助","網路服務","2018-04-30 17:36:50","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-05-19 10:51:19","林菊美","02-27597729-6963","ha_sarah@mail.taipei.gov.tw",""
"455","社會福利統計_老人福利機構評鑑","臺北市政府社會局","每年2次","","https://beta.data.taipei/dataset/detail/metadata?id=2334ffb4-e17c-47d8-8091-4b974d576a06","公共資訊","社會福利統計_私立老人福利機構評鑑資料呈現於【社會局局網 > 銀髮族服務 > 機構園地】","社會福利統計_私立老人福利機構評鑑","網路服務","2018-04-30 17:28:40","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-06 10:26:50","高欣瑜","02-27256967","20140401@mail.taipei.gov.tw",""
"456","社會福利統計_低收入戶暨中低收入戶輔導就業服務","臺北市政府社會局","每季","ods","https://beta.data.taipei/dataset/detail/metadata?id=a3f23233-88a9-4e15-b45f-49d41e71d496","公共資訊","社會福利統計_低收入戶暨中低收入戶輔導就業服務資料呈現於【社會局局網> 社會救助 > 統計資料】","低收入戶暨中低收入戶輔導就業服務","網路服務","2018-04-30 17:24:54","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-07 14:14:27","張小姐","02-27208889","ha_fenlan411@mail.taipei.gov.tw",""
"457","社會福利統計_中低收入老人假牙補助","臺北市政府社會局","每月","","https://beta.data.taipei/dataset/detail/metadata?id=d21233fb-9527-499f-be73-d19c1dd2347c","公共資訊","社會福利統計_中低收入老人假牙補助資料呈現於【社會局局網> 銀髮族服務 > 統計資料】","社會福利統計_中低收入老人假牙補助","網路服務","2018-04-30 17:19:37","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-07 16:08:07","孫倖寬","02-27256968","sunbess@mail.taipei.gov.tw",""
"458","社會福利統計_臺北市弱勢兒童及少年醫療補助","臺北市政府社會局","每半年","ods","https://beta.data.taipei/dataset/detail/metadata?id=3fd97cfd-7410-4d32-a870-38ec50e0a2f0","公共資訊","社會福利統計_臺北市弱勢兒童及少年醫療補助資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】","社會福利統計_臺北市弱勢兒童及少年醫療補助","網路服務","2018-04-30 17:16:01","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-05-14 14:50:42","鄒佳宏","02-27208889-1920","james0520@mail.taipei.gov.tw",""
"459","社會福利統計_弱勢少年自立生活經濟扶助","臺北市政府社會局","每年","","https://beta.data.taipei/dataset/detail/metadata?id=82634a47-7a60-4941-ac26-7268888caa3c","公共資訊","社會福利統計_弱勢少年自立生活經濟扶助資料呈現於【社會局局網>兒童及少年服務>統計資料】","社會福利統計_弱勢少年自立生活經濟扶助","網路服務","2018-04-30 17:12:12","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","","","2015-08-10 12:03:22","黃若喬","02-27206972","ha_11161@mail.taipei.gov.tw",""
"460","社會福利統計_志願服務","臺北市政府社會局","每半年","ods","https://beta.data.taipei/dataset/detail/metadata?id=68c423bf-c523-4364-8880-5f20e59009e5","公共資訊","社會福利統計_志願服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】","社會福利統計_志願服務","網路服務","2018-04-30 16:40:58","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-07 14:50:14","吳亞凡","02-27206528","ha_10816@mail.taipei.gov.tw",""
"461","社會福利統計_社會工作師管理","臺北市政府社會局","每半年","ods","https://beta.data.taipei/dataset/detail/metadata?id=557544af-aef5-4927-b421-29d9fb4b4317","公共資訊","社會福利統計_社會工作師管理資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】
","社會福利統計_社會工作師管理","網路服務","2018-04-30 16:36:38","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-07 14:45:55","吳亞凡","02-27206528","ha_10816@mail.taipei.gov.tw",""
"462","社會福利統計_居家照顧","臺北市政府社會局","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=bd7914c1-a33c-4d40-815f-25fd72a114d6","公共資訊","社會福利統計_居家照顧資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】","社會福利統計_居家照顧","網路服務","2018-04-30 16:29:42","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-05 16:00:27","余柏勳","02-27207158","ha-0305@mail.taipei.gov.tw",""
"463","社會福利統計_社會工作人員專業訓練","臺北市政府社會局","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=86e2a2e2-3a28-4220-9148-6b7aa0d13684","公共資訊","社會福利統計_社會工作人員專業訓練資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表--社會工作員工作成果】
","社會福利統計_社會工作人員專業訓練","網路服務","2018-04-30 16:24:27","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-07 15:30:31","吳亞凡","02-27206528","ha_10816@mail.taipei.gov.tw",""
"464","社會福利統計_早期療育個案服務","臺北市政府社會局","每季","ods","https://beta.data.taipei/dataset/detail/metadata?id=877ddf33-2938-4417-ad7e-a7ca25639baa","公共資訊","社會福利統計_早期療育個案服務資料呈現於【社會局局網> 統計資料 > 預告統計資料發布時間表】","社會福利統計_早期療育個案服務","網路服務","2018-04-30 16:21:09","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-05 15:55:32","朱鳳英","02-27568852-101","ha_tpscfddc@mail.taipei.gov.tw",""
"465","社會福利統計_寄養服務業務","臺北市政府社會局","每年","ods","https://beta.data.taipei/dataset/detail/metadata?id=0e01d743-126e-4322-a39d-88ef0fd3e503","公共資訊","社會福利統計_寄養服務業務資料呈現於【社會局局網> 兒童與少年服務 > 統計資料】","社會福利統計_寄養服務業務","網路服務","2018-04-30 16:12:43","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-05 17:31:28","王奕程","02-27206507","ha_10925@mail.taipei.gov.tw",""
"466","社會福利統計_老人長期照顧、安養機構概況","臺北市政府社會局","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=d455b149-1a2f-4d5a-a9a8-315eb71f51f6","公共資訊","社會福利統計_老人長期照顧、安養機構概況資料呈現於【社會局> 統計資料 > 預告統計資料發布時間表】","社會福利統計_老人長期照顧、安養機構概況","網路服務","2018-04-30 16:07:51","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-05 16:25:09","江雅婷","02-27208889-1618","ha_leolily@mail.taipei.gov.tw",""
